Words,Meaning
nas,"nas m.l 1. Meesha ugu dhow wax laga nishaabi karo. 2. (dii.) Kitaab, qaanuun iwm oo la qoray hadalkiisa hore oo asalka ah oo ka duwan sharaxa ama waxyaale kale oo gadaal cid kale kaga darto. "
nasaari,nasaari m.dh.u ld nasaaro. 
nasaaro,nasaaro m.dh.u (dii.) Dadka sheegta inay haystaan diinta Nebi Ciise; Kiristaan; Masiixi. ld nasaari. 
nasaaroobid,nasaaroobid m.f.dh eeg nasaarow. 
nasaarow,"nasaarow f.mg1 (-oobay, -owday; -oobi) Nasaaro noqosho. "
nasab,nasab m.l 1. Tafiir iyo farac laga soo jeedo. 2. N. ah: qof wanaagsan. 
nasabnimo,nasabnimo m.dh Nasab ahaansho. 
nasad,nasad m.l ld nasasho. 
nasahan,"nasahan f.mg4 (-hnaa, -hnayd) Ka n.: wax aan xumaan lahayn ahaansho. "
nasahnaan,nasahnaan  m.f.dh eeg nasahan.  ld nasahnaansho.  
nasahnaansho,nasahnaansho m.l/dh ld nasahnaan. 
nasakh¹,"nasakh¹ m.l 1. N. ah: qof doqon ah, nacas ah. 2. N. ah: wax la buriyay (ayaad, diin). 3. ld nasakhid.  "
nasakh²,"nasakh² f.g1 (-khay, -khday) 1. Qof fikraddiisa wanaagsan mid xun ugu beddelid. 2. Burin beddelid (aayad, diin). "
nasakhaad,nasakhaad m.dh Doqonnimada cid la kulanta. 
nasakhan,"nasakhan f.mg4 (-khnaa, -khnayd) 1. Doqon ahaansho. 2. Diin ama aayad la beddelay ahaansho. "
nasakhid,nasakhid m.f.dh eeg nasakh². ld nasakh¹ (3). 
nasakhnaan,nasakhnaan m.f.dh eeg nasakhan. ld nasakhnaansho.  
nasakhnaansho,nasakhnaansho m.l/dh eeg nasakhnow. ld nasakhnaan.  
nasan,"nasan f.mg4 (-snaa, -snayd) Wax nastay ahaansho. "
nasar,"nasar m.dh (muus.) Durbaan dhuuban oo salka luga ka leh, waxaana laga yaqaan degaanka webiyada. ld narso. "
nasasho,nasasho m.f.dh eeg naso. ld nasad. 
naseex,naseex m.l 1. Qof talo daacad ah bixiya. 2. Wax qof dan u ah. ld nasteex. 
naseexayn,naseexayn m.f.dh eeg naseexee. ld nasteexayn. 
naseexee,"naseexee f.mg2 (-xeeyay, -xaysay) 1. U n.: cid daacadnimo ula talin. 2. U n.: cid u danayn.  ld nasteexee. "
naseexo,"naseexo m.dh (-ooyin, m.l) 1. Talo daacad ah oo cid loo jeediyo; waano; caqlicelin. 2. Daacadnimo. ld nasteexo. "
nash,"nash m.dh Meesha madaxa carruurta kol dhow dhalatay xaggiisa sare ku taal ee boodboodda; nasiso. ld nashley, nashnashley, nasin, nasiso¹.  "
nashaad,"nashaad m.l (-ddo, m.dh) Farxad iyo firfircooni. ld nanashaaddo, nishaad. "
nashaaddaysan,"nashaaddaysan f.mg4 (-snaa, -snayd) Wax farax iyo firfircooniyi ka muuqato ahaansho. ld nishaaddaysan. "
nashaaddaysnaan,"nashaaddaysnaan m.f.dh eeg nashaaddaysan. ld nashaaddaysnaansho, nishaaddaysnaan. "
nashaaddaysnaansho,nashaaddaysnaansho  m.l/dh ld nashaaddaysnaan.  
nashir¹,nashir¹ m.l ld nashirid. 
nashir²,"nashir² f.g1 (-ray, -rtay) Akhbaar faafin. "
nashiran,"nashiran f.mg4 (-rnaa, -rnayd) Wax la faafiyay ahaansho (akhbaar). "
nashirid,nashirid m.f.dh eeg nashir². ld nashir¹. 
nashirnaan,nashirnaan m.f.dh eeg nashiran. ld nashirnaansho.  
nashirnaansho,nashirnaansho m.l/dh ld nashirnaan. 
nashlayn,nashlayn m.f.dh eeg nashlee. 
nashlee,"nashlee f.g2 (-leeyay, -leysay) Daba n.: cid u qabbaanid. "
nashley,nashley m.dh ld nash. 
nashnaash¹,"nashnaash¹ m.l.u 1. Sii qurxinta wax hore u jiray sida dhismo, farsamo iwm. 2. Inta lagu kordhiyo hadal hore murtidiisa loo yiri. ld naashnaash¹.  "
nashnaash²,"nashnaash² f.g1 (-shay, -shtay) 1. Dhismo, farsamo iwm qurxin. 2. Hadal murtidiisa hore loo yiri wax ku darid. ld naashnaash². "
nashnaashad,nashnaashad m.f.dh ld nashnaashasho. 
nashnaashan,"nashnaashan f.mg4 (-naa, -nayd) Wax la nashnaashay ahaansho. ld naashnaashan. "
nashnaashasho,nashnaashasho m.f.dh eeg nashnaasho. ld nashnaashad.  
nashnaashi¹,nashnaashi¹ m.l Qurux iyo wanaag wax loo yeelay. ld naashnaashi¹. 
nashnaashi²,"nashnaashi² f.g2 (-iyay, -isay) Qurux iyo wanaag wax u yeelid. ld nashnaash². "
nashnaashid,nashnaashid m.f.dh eeg nashnaash². ld naashnaashid.  
nashnaashin,"nashnaashin m.f.dh eeg nashnaashi². ld naashnaashin, naashnaashis, nashnaashis. "
nashnaashnaan,"nashnaashnaan m.f.dh eeg nashnaashan. ld naashnaashnaan, naashnaashnaansho, nashnaashnaansho."
nashnaashnaansho,nashnaashnaansho m.l/dh ld nashnaashnaan. 
nashnaasho,"nashnaasho f.mg3 (-shtay, -shatay) Wax nashnaash u yeelasho. "
nashnashley,nashnashley m.dh ld nash. 
nashuug¹,nashuug¹ m.l Tubaakada la calaashado. 
nashuug²,"nashuug² f.mg1 (-gay, -gtay) Tubaako calaalin. "
nashuugi,"nashuugi f.g2 (-iyay, -isay) Nashuug ka dhigid (tubaako). "
nashuugid,nashuugid m.f.dh eeg naashuug². 
nashuugin,nashuugin m.f.dh eeg nashuugi. 
nasi,"nasi f.g2 (-iyay, -isay) Cid hawl muddo gaaban ka fadhiisin si daalku uga ba'o. "
nasiib,nasiib m.l Hoodo; cawo; ayaan. 
nasiibdarro,nasiibdarro m.dh 1. Nasiib wacan la'aan. 2. Dhibaato; mushkilad. ld nasiibxumo. 
nasiibwanaag,nasiibwanaag m.l Hoodo iyo ayaan wanaagsan. 
nasiibxumo,nasiibxumo m.dh ld nasiibdarro. 
nasiino,nasiino m.dh Xaalad hawl iyo dhibaato la'aaneed. ld nasiin. 
nasin¹,nasin¹ m.f.dh eeg nasi. 
nasin²,"nasin² m.dh (-nno, m.dh) (c.nafl.) Meel dhalada ka mid ah oo aan lafoobin, lagana dareemi karo garaaca halbowlayaasha maskaxda. Waxaana lagu yaqaan dhallaanka ilaa gu' jirka ah, kaddibna way lafowdaa way xirantaa. ld nash. "
nasisasho,nasisasho m.f.dh eeg nasiso². 
nasiso¹,nasiso¹ m.dh ld nash. 
nasiso²,"nasiso² f.g3 (-stay, -satay) Nafley nasiino siisasho. "
nasnaan,nasnaan m.f.dh eeg nasan. ld nasnaansho. 
nasnaansho,nasnaansho m.l/dh ld nasnaan. 
nasniin,nasniin m.l ld nasniino. 
naso,"naso f.mg3 (-stay, -satay) Hawl muddo gaaban ka fadhiisasho si daalkeedu u ba'o. "
nasraani,"nasraani m.l (-iyiin, m.l) (dii.) Qof sheegta inuu haysto diinta nebi Ciise. "
nasraaninnimo,nasraaninnimo m.dh Nasraani ahaansho. 
nasri,"nasri m.l 1. Guul laga gaadho dagaal, arrin iwm. 2. Nabadgelyo iyo barwaaqo. "
nasro,nasro m.dh 1. (muus.) Durbaan yar oo lagu tumo qasaa'idka Nabi ammaanka ah; darbuugad. 2. (muus.) Durbaan tumid iyo qasaa'id Nabi ammaan ah oo wada socda. 
nastahan¹,nastahan¹ m.l.kh N. ah: dhib yar oo aan shiddo badnayn (qof). 
nastahan²,"nastahan² f.mg4 (-hnaa, -hnayd) Qof nastahan ahaansho. "
nastahanaan,nastahanaan m.f.dh eeg nastahan². ld nastahaanansho.  
nastahanaansho,nastahanaansho m.l/dh ld nastahanaan. 
nasteex,nasteex m.l ld naseex. 
nasteexayn,nasteexayn m.dh ld naseexayn. 
nasteexee,"nasteexee f.mg2 (-xeeyay, -xeysay) ld naseexee.  "
nasteexo,nasteexo m.dh ld naseexo. 
natarik-asiidh,"natarik-asiidh m.l (kiim.) Hoore midablaawe ah oo bida, oo dharka iyo jidhkaba cuna. Waa asiidh xoog badan. "
natiijo,"natiijo m.dh (-ooyin, m.l) Fal la sameeyo wax ka soo baxa. "
nawaaxi,nawaaxi m.l.u Dhulka ku xeeran hadba meesha laga hadlayo. 
nawir¹,nawir¹ m.l ld nawirid. 
nawir²,"nawir² f.g1 (-ray, -rtay) Wax dhalaalaya ka dhigid (wax). "
nawirid,nawirid m.f.dh eeg nawir². ld nawir¹. 
nax,"nax f.mg1 (-xay, -xtay; -nixi) 1. Cabsi iyo welwel kedis ah dareemid. 2. U n.: qof waxnebcaysasho wanaagsan la jeclaysasho iyadoo laga xanunsanayo dhib haysata. "
naxaas,"naxaas m.dh (jool.) Macdan adke ah, dhulka laga qodo, leh midab cagaar ah, dusha lagaga dahaadho xadiidka si uu mirirka uga ilaaliyo, lagana sameeyo qalab badan oo la adeegsado. "
naxar,naxar m.l Dab aad u kulul. 
naxariis,naxariis m.dh Dareen raxmadeed oo cid ku dhasha dhib cid kale haysata darteed. 
naxariisad,naxariisad m.l ld naxariisasho. 
naxariisasho,naxariisasho m.f.dh eeg naxariiso. ld naxariisad.  
naxariiso,"naxariiso f.mg3 (-stay, -satay) U n.: cid naxariis u gelid. "
naxas,"naxas m.l (-syo, m.dh) Maalin ama waqti nuxus ah. ld naxsi². "
naxash,"naxash m.l (naxash/-shyo, m.dh) ld nacash (2). "
naxdin,naxdin m.dh Dareen cabsi ku jirto oo qof ku dhacda marka uu la kulmo waxyeello aanu filanayn. 
naxli,naxli m.l.u 1. Xumaan xaasidnimo ku jirto. 2. ld laxni. 3. Dheecaanka ka soo baxa nabar buka. 
naxsan,"naxsan f.mg4 (-naa, -nayd) Wax naxay ahaansho. "
naxsanaan,naxsanaan  m.f.dh eeg naxsan. ld naxsanaansho.  
naxsanaansho,naxsanaansho m.l/dh ld naxsanaan. 
naxsasho,naxsasho m.f.dh eeg naxso. ld naxsi¹. 
naxsi¹,naxsi¹ m.l ld naxsasho. 
naxsi²,naxsi² m.l ld naxas. 
naxso,"naxso f.mg3 (-saday, -satay) Ka n.: cid naxdin ku abuurid. "
naxuus¹,naxuus¹ m.l ld nuxuus¹. 
naxuus²,"naxuus² f.mg1 (-say, -stay) ld nuxuus². "
naxuusi,"naxuusi f.g2 (-iyay, -isay) ld nuxuusi. "
naxuusid,naxuusid m.dh ld nuxuusid. 
naxuusin,naxuusin m.dh ld nuxuusin. 
naxwe,"naxwe m.l 1. Laan cilmi afeedka ka mid ah oo lagu barto weereynta, dhismaha ereyada iyo codeynta. 2. Hadal si wanaagsan u dhisan oo murti iyo macno leh. 3. Buug xeerarka naxwaha ka hadlaya. "
nayaayiraysan,"nayaayiraysan f.mg4 (-snaa, -snayd) Wax nayaayiro hayso ahaansho. ld nayaayirsan. "
nayaayiraysnaan,"nayaayiraysnaan m.f.dh eeg nayaayiraysan. ld nayaayirsanaan,  nayaayirsanaansho,  nayaayiraysnaan."
nayaayiraysnaansho,nayaayiraysnaansho  m.l/dh ld nayaayiraysnaan.  
nayaayiro,nayaayiro m.dh 1. Dareen farxad leh oo qofka ku dhaliya furfurnaan dheeraad ah. 2. Rajo. 
nayaayiroo,"nayaayiroo f.mg3 (-ooday, -ootay) Nayaayiro dareemid. "
nayaayirood,nayaayirood m.f.l eeg nayaayiroo. 
nayaayirsan,"nayaayirsan f.mg4 (-naa, -nayd) ld nayaayiraysan.  "
nayaayirsanaan,nayaayirsanaan m.dh ld nayaayiraysnaan. 
nayaayirsanaansho,nayaayirsanaansho  m.l/dh ld nayaayiraysnaan.  
nayaayiso,nayaayiso m.dh Rajo. 
nayl¹,"nayl¹ m.l (-lo, m.l) Maqasha idaha keeda lab. "
nayl²,"nayl² m.dh (-lo, m.l) Maqasha idaha keeda dheddig. "
naylakobcis,naylakobcis m.l Geed yar oo meelaha sallaxyada ah ka baxa oo leh laamo yaryar oo jiljilicsan oo si gaar ah isugu dhafma ilaa uu yeesho qaab dhulmaneed oo iduhu aad u jecelyihiin. 
naylaqaad,naylaqaad m.l 1. Shimbir ay gallayrka isku bah yihiin kana yara weyn oo waxaraha yar-yar cuna; baqalyo. 2. N. ah: dayax afar iyo tobnaad ah oo aad u iftiin badan. 
naylduur,naylduur m.l Nooc shimbiraha ka mid ah oo dhoor leh. 
nayloon,nayloon m.l ld layloon. 
naynaas¹,naynaas¹ m.dh ld naanays¹. 
naynaas²,"naynaas² f.mg1 (-say, -stay) ld naanays³. "
naynaasan,"naynaasan f.mg4 (-snaa, -snayd) Qof ceeb ku tilmaaman ahaansho. ld naanaysan. "
naynaasid,naynaasid m.dh ld naanaysid. 
naynaasnaan,"naynaasnaan m.f.dh eeg naynaasan. ld naanaysnaan, naanaysnaansho, naynaasnaansho.  "
naynaasnaansho,naynaasnaansho m.l/dh ld naynaasnaan. 
naytareyd,"naytareyd m.l (-yo, m.dh) (kiim.) Cusbada ama istarka natarik asiidh. "
naytarojiin,"naytarojiin m.dh (-nno, m.dh) 1. (kiim.) Curiyaha ugu horreeya ururka V ee tusaha kalgalka curiyayaasha; curiye elektaroon jiidasho badan,una jira isagoo molikiyuullo laba atamle ah (N )oo neef ah. Naytarojiinta hawada ku jirtaa waa 78 % mug ahaan. Naytarojiin waxa ay samaysaa ogsaydho ay ka mid yihiin laba-naytarojiin hal-ogsaydh. "
naytaras,"naytaras Naytaras ogsaydh (N O) oo ah ogsaydh dhexdhexaad ah; iyo natarojiin laba-ogsaydh (NO) oo soo saarta iskujir ka kooban asiidh iyo naytarik asiidh marka biyo lagu daro. 2. (kiim.) Neefta ugu badan gibilka, oo mug ahaan buuxisa 78% ee hawada engegan; neeftani kiimika ahaan ma firfircoona, waxay tartaa inay misho ogsajiinta. "
nebcaan,"nebcaan m.f.dh eeg neceb. ld nebcaansho, necbaan, necbaansho. "
nebcaansho,nebcaansho m.l/dh ld nebcaan. 
nebcaysasho,"nebcaysasho m.f.dh eeg nebcayso. ld nebcoobid, necbaysasho, necboobid."
nebcayso,"nebcayso f.g3 (-stay, -satay) Cid niyadda ka nicid. ld necbayso. "
nebcow,"nebcow f.mg1 (-oobay, -owday; -oobi) ld necbow.  "
neberi,neberi m.l Nafley naasleyda ka mid ah oo waxa badda ku nool ugu weyn. ld nibiri. 
neberoon,neberoon m.l ld nabaraan. 
nebi,"nebi m.l (-iyo, m.l/dh/ambiyo, m.dh) Qof Eebbe doortay oo waxyi loo soo dhiibay. "
nebi-ammaan¹,nebi-ammaan¹ m.l (dii.) Sugaan ama qasiido lagu ammaano wanaagga iyo wax qabadka nebi.  
nebi-ammaan²,"nebi-ammaan² f.mg1 (-nay, -ntay) (dii.) Suugaan ama qasiido ku tirin wanaagga iyo waxqabadka nebi. "
nebi-ammaanid,nebi-ammaanid m.f.dh eeg nebi-ammaan². 
nebinnimo,nebinnimo m.dh (dii.) Nebi ahaansho. 
necayb,necayb m.l ld nacayb. 
necbaan,necbaan m.dh ld nebcaan. 
necbaansho,necbaansho m.l/dh ld nebcaan. 
necbaysasho,necbaysasho m.dh ld nebcaysasho. 
necbayso,"necbayso f.g3 (-stay, -satay) ld nebcayso. "
necbow,"necbow f.mg1 (-oobay, -owday; -oobi) Aan wax jeclayn noqosho (cid). ld nebcow. "
neceb,"neceb f.g4 (-cbaa, -cbayd/-ebcaa, -ebcayd) Wax aan la rabin kashasho. "
neecaabi,"neecaabi f.g2 (-iyay, -isay) Wax neecow u dhigid. ld naacaabi, neecaawi. "
neecaabin,"neecaabin m.f.dh eeg neecaabi. ld naacaabin, neecaawin.  "
neecaawi,"neecaawi f.g2 (-iyay, -isay) ld neecaabi. "
neecaawin,neecaawin m.dh ld neecaabin. 
neecaw¹,neecaw¹ m.dh Hawo qabow oo nadiif ah; laydh. ld naacaw. 
neecaw²,"neecaw² m.dh (juqr.) Eray badanaa lagu isticmaalo maayad hawo ah oo aad uga khafiifsan dabayl. Amase, waxaa lagu isticmaalaa noocyo ka mid ah dabaysha oo dhacdo joogto ah leh. "
neecawsasho,neecawsasho m.f.dh eeg neecowso. ld naacawsasho.  
neecawso,"neecawso f.mg3 (-saday, -satay) Neecow qaadasho. ld naacawso. "
neecow-badeed,"neecow-badeed m.dh (fiis.) Sarraynta/hoseynta socodka hawada ka timaada badda ee u socota beriga ee ay sababtay kala duwanaanta heerkulka. Maalintii kulaylka berrigu wuxuu keenaa in hawadu kor u kacdo, hawada badduna halkeedii ayey beddeshaa. "
neef-wahsada,"neef-wahsada m.dh (-faf ..., m.l) (kiim.) Curiyayaasha ururka 0 ee tusaha kalgalka curiyayaasha. Neefo hal atamlayaal ah oo leh heerkul kar oo hooseeya. "
neef¹,"neef¹ m.l (-faf, m.l) 1. Xoolaha la dhaqdo mid ka mid ah. 2. Faras si gaar ah u tilmaaman. 3. Qof garasho yar. "
neef²,"neef² m.dh (-fo, m.dh) 1. Hawada nafleyda. 2. Qaybaha hawadu u kala baxdo mid ka mid ah sida haydarojiinta, ogsojiinta iwm. 3. Cudur dadka ku dhaca oo neefsashadu dhibto. "
neef³,"neef³ m.dh (fiis.) Wejiga maatarka ee xoogagga isjiidashada ee u dhexeeya saxarrada walaxdu ka koobantahay uu yaryaryahay. Saxarradaasu waxay leeyihiin xorriyad dhadhaqaaq, sidaas awgeedna neefuhu ma laha qaab iyo mug go'an midna. "
neefayn,neefayn m.f.dh eeg neefee. 
neefee,"neefee f.g2 (-feeyay, -faysay) Wax neef gelin. "
neefgur¹,neefgur¹ m.l ld neeftuur¹. 
neefgur²,"neefgur² f.mg1 (-iyay, -isay) ld neeftuur². "
neefgurid,neefgurid m.dh ld neeftuurid. 
neefi,"neefi f.g/mg2 (-iyay, -isay) 1. (f.g) Wax neefta ku jirta ka saarid. 2. (f.mg) Ka n.: cid hawl ku daashay ka nasin. 3. (f.mg) Ka n.: cid hadal u ciil qabta dhageysad. 4. (f.mg) Ku n.: neefta lo'da cid ku daaweyn. "
neefin,neefin m.f.dh eeg neefi. ld neefis. 
neefis,neefis m.l ld neefin. 
neef-qaadasho,"neef-qaadasho m.dh (-faf ..., m.dh) (c.nafl.) Qaadashada hawo ama neefo kale, kuwaas oo ballaadhiya sambabada. "
neef-qabatin,"neef-qabatin m.l (-faf ..., m.l) (daaw.) Dhibaato neefsasho oo ay sabab u noqon karto xiran dhuumaha neefta xiiqda, borinkiito ama cudurro kale oo sambabada ku dhaca. "
neefqalow,neefqalow m.l Dhowr neef oo ari ah oo midba mar lumay. 
neefsad,neefsad m.l ld neefsasho. 
neefsasho-ogsajiin-la',"neefsasho-ogsajiin-la' m.l (baay.) Nooc ka mid ah neefsashada oo cuntadu (gaar ahaan kaarboohaydraytyada) ay qayb ahaan u ogsidhooban iyagoo sii daynaya tamar kiimikeed, kuna sii daynaya dariiqad ogsajiin aan u baahnayn. "
neefsasho-ogsajiin-leh,"neefsasho-ogsajiin-leh m.dh (baay.) Nooc ka mid ah neefsashada, oo cuntadu (gaar ahaan kaarboohydraytyada) ay dhammaantood u ogsidhoobaan kaarboon laba ogsaydh iyo biyo, iyaga oo siidaynaya tamar kiimikeed, kuna sii daynaya dariiqad u baahan ogsajiin. "
neefsasho¹,"neefsasho¹ m.f.dh eeg neefo. ld neefsad, neefsi. "
neefsasho²,"neefsasho² m.dh Dariiqadda dheefsasho ee xayawaanka iyo dhirta taas oo walax orgaanik ah la burburinayo lagana dhigayo walxo sahlan isla markaana tamar la soo saarayo, iyada oo lala kaashanayo molikiyuullo gaarnifaas ah oo tamarta qaada oo loo isticmaalo dariiqooyin dheefsasho oo kale. Dhirta iyo xayawaanka badankooda neefsashadu waxay u baahantahay ogsajiin, iyo kaarboon laba ogsaydh oo ah dhammaadka maxsuulka. "
neefsi,neefsi m.l ld neefsasho. 
neefso,"neefso f.mg3 (-saday, -satay) 1. Nafley, neef sii deyn. 2. Muddo yar nasasho. "
neeftuur¹,neeftuur¹ m.l Neef xooggan oo ka soo baxda nafley xiiqday. ld neefgur¹. 
neeftuur²,"neeftuur² f.mg1 (-ray, -rtay) Nafley xiiqday neef xooggan sii dayn. ld neefgur². "
neeftuurid,neeftuurid m.f.dh eeg neeftuur². ld neefgurid. 
neeqaab,neeqaab m.l Qoriga dakhalku ku qotomo. 
neeuroosis,neeuroosis m.l (c.naf.) Cudur dhimireed lagu yaqaan isbeddel xagga caadifiyadda taas oo keeneysa dhaqan iyo hab fakar duwan oo qofka silciya. 
nefi,"nefi f.g2 (-iyay, -isay) Ka n.: cid nasasho yar siin. "
nefin,nefin m.f.dh eeg nefi. 
nefis¹,nefis¹ m.l 1. Meel aan ciriir ahayn. 2. Waqti yar oo hawl laga nasto. ld nafis. 
nefis²,"nefis² f.mg1 (-say, -stay) Hawl muddo yar ka nasasho.  "
nefisid,nefisid m.f.dh eeg nefis². 
neg,"neg f.mg4 (-gaa, -gayd) 1. Wax aan dhaqdhaqaaqayn ahaansho. 2. Wax socdaal ka baaqday ahaansho. 3. Cid niyadda ka deggan ahaansho. ld nag, nagi², negi². "
negaadi¹,negaadi¹ m.l 1. Dhaqdhaqaaq la'aan. 2. Socdaal laga baaqdo. ld nagaadi¹. 
negaadi²,"negaadi² f.g2 (-iyay, -isay) Geeddi ka baajin; dejin. ld nagaadi². "
negaadin,negaadin m.f.dh eeg negaadi². ld nagaadin. 
negaan,"negaan m.f.dh eeg neg. ld nagaan, nagaansho, nagi¹, negaansho, negi¹. "
negaansho,negaansho m.l/dh eeg negow. ld negaan. 
negayaal,"negayaal m.l/dh (fiis.) Qayb ka mid ah mekaanikada oo la xidhiidha walxo ay saaran yihiin xoogag sidkan ama isku dheelitiran, taasina ay keento in walaxdu ku xawaarayso socod madoorsoome ah ama ay negaato. "
negayn,negayn m.f.dh eeg negee. ld nagayn. 
negee,"negee f.g2 (-geeyay, -gaysay) Cid geeddi, socdaal iwm ka baajin. ld nagee. "
negi¹,negi¹ m.dh ld negaan. 
negi²,negi² f.mg4 ld neg. 
negow,"negow f.mg3 (-gaaday, -gaatay) Wax socod, geeddi iwm ka baaqday noqosho. ld nagow. "
nejis,nejis m.l ld najaas¹. 
nejisad,"nejisad m.dh (-do, m.l) ld najaas². "
nejisnimo,nejisnimo m.dh ld najaasnimo. 
netuun,netuun m.l Mid ka mid ah meerayaasha aad u fog oo lix jeer dhulka ka weyn. 
neyruus,neyruus m.l 1. Sannad qorraxeedka la tirsado bilowgiisa. 2. Dabbaaldeg la sameeyo sannad qorraxeedka dhammaadkiisa. 
nibiri,nibiri m.l ld neberi. 
nicid,nicid m.f.dh eeg nac². 
nicmad,nicmad m.dh ld nicmo. 
nicmee,"nicmee f.g2 (-meeyay, -meysay) Wax xag kasta ka barwaaqayn. ld nimcee. "
nicmeyn,nicmeyn m.f.dh eeg nicmee. ld nimceyn. 
nicmeysan,"nicmeysan f.mg4 (-snaa, -snayd) Wax xag kasta ka barwaaqaysan ahaansho. ld nimceysan.  "
nicmeysnaan,"nicmeysnaan m.f.dh eeg nicmeysan. ld nicmeysnaansho, nimceysnaan, nimceysnaansho.  "
nicmeysnaansho,nicmeysnaansho m.l/dh ld nicmaysnaan. 
nicmo,"nicmo m.dh Nabadgelyo, barwaaqo iyo caafimaad lagu suganyahay. ld nicmad, nimcad, nimco. "
nicmooley,"nicmooley m.dh.u Xayawaanka dadku manaafacaadsado sida geela, ariga iwm. ld nimcooley.  "
nidaam,nidaam m.l Hannaanka ay u dhisanyihiin wax kasta oo habeysan. ld nadaam. 
nidaamdarro,"nidaamdarro m.dh Hab iyo hannaan la raaco la'aan. ld nadaamdarro, nadaam-la'aan, nidaam-la'aan.  "
nidaami,"nidaami f.g2 (-iyay, -isay) Wax la habeeyay ahaansho. ld nadaami. "
nidaamin,nidaamin m.f.dh eeg nidaami. ld nadaamin. 
nidaamla'aan,nidaamla'aan m.dh ld nidaamdarro. 
nidaamsan,"nidaamsan f.mg4 (-naa, -nayd) Wax la nidaamiyay ahaansho. ld nadaamsan. "
nidaamsanaan,"nidaamsanaan m.f.dh eeg nidaamsan. ld nadaamsanaan, nadaamsanaansho, nidaamsanaansho.  "
nidaamsanaansho,nidaamsanaansho m.l/dh ld nidaamsanaan. 
nidar,nidar m.l 1. Ballanqaad qof naftiisa waajib kaga dhigo inuu fuliyo haddii arrintiisu u hagaagto. Tus. “Waxaan n. ku galay inaan wan bixiyo haddii aan arigii iga lumay helo”. 2. Waxa loo bixiyo ballanqaadka qof naftiisa ku waajibiyey inuu fuliyo haddii arrintiisu u hagaagto. Tus. “Wankani waa n.”. ld nidir¹. 
nidir¹,nidir¹ m.l ld nidar. 
nidir²,"nidir² f.g/mg1 (-dray, -dirtay; -dri) 1. (f.g) Si muraad loo helo magac Eebbe ballan ku gelid. Tus. “Cali wuxuu nidray inuu neef bixiyo hadduu muraadkiisii helo”. 2. (f.mg) Cid dhaarasho. Tus. “Cali wuu nidiray”. "
nidrid,nidrid m.f.dh eeg nidir². 
nifaaq,nifaaq m.l Wanaag la muujiyo iyadoo xumaan la garsanayo. 
nifaas,nifaas m.l Dhiigga ka yimaada haweenka markay dhalaan kaddib. 
niggax¹,niggax¹ m.l ld ningax¹. 
niggax²,"niggax² f.g1 (-xay, -xday) ld ningax². "
niggaxan,"niggaxan f.mg4 (-xnaa,-xnayd) ld ningaxan. "
niggaxasho,niggaxasho m.dh ld ningaxasho. 
niggaxnaan,niggaxnaan m.dh ld ningaxnaan. 
niggaxnaansho,niggaxnaansho m.l/dh ld ningaxnaan. 
niggaxo,"niggaxo f.mg3 (-xday, -xatay) ld ningaxo. "
niggixid,niggixid m.dh ld ningixid. 
niib¹,"niib¹ m.dh (-bbo, m.l) Wax adag oo aan la dabooli karin. "
niib²,"niib² f.g1 (-bay, -btay) 1. Wax si adag meel ugu dhejin. 2. Meel dalooshay oo la buuxshay ahaansho. "
niibaati,niibaati m.dh Fuur ama guf meel daloosha lagu buuxiyo. 
niiban,"niiban f.mg4 (-bnaa, -bnayd) 1. Meel dalooshay oo la buuxshay ahaansho. 2. Wax si adag meel ugu dheggan ahaansho. "
niibasho,niibasho m.f.dh eeg niibo. 
niibee,"niibee f.g2 (-beeyay, -beysay) Badar iwm wax sibxanaya ka dhigid. "
niibeyn,niibeyn m.f.dh eeg niibee. 
niibid,niibid m.f.dh eeg niib². 
niibkeen¹,niibkeen¹ m.l ld nibkeenid. 
niibkeen²,"niibkeen² f.mg1 (-nay, -ntay) Ka n.: arrin ka guul gaarid. ld libkeen². "
niibkeenid,"niibkeenid m.f.dh eeg niibkeen². ld libkeen¹, libkeenid, niibkeen¹. "
niibnaan,niibnaan m.f.dh eeg niiban. ld niibnaansho. 
niibnaansho,niibnaansho m.l/dh eeg niibnow. ld niibnaan. 
niibo,"niibo f.g3 (-btay, -batay) 1. Ku n.: wax meel daloosha ku buuxsasho. 2. Dhegaha n.: xayawaan aad u ordid. 3. Dhego furaysasho. "
niiboobid,niiboobid m.f.dh eeg niibow². ld niibow¹. 
niibow¹,niibow¹ m.l Ka sibxashada ay wax sibxadaan laba gacmood dhexdood iwm. ld niiboobid. 
niibow²,"niibow² f.mg1 (-oobay, -owday; -oobi) Wax sibxanaya oo aan gacantu qabaneyn noqosho.  "
niil,niil m.l Feeraha geel saddexda ugu dambaysa oo xiga lugta dambe; mayraq. 
niinf,niinf m.dh (c.nafl.) Heer ay maraan xasharaadka qaarkood intaayan weynaan sida: kaboyaaga marka ukunta ka soo baxaan 
niinfigu,niinfigu waxay u egyihiin kuwa waaweyn; waxay kaga duwan yihiin oo keliya: a) way ka yaryaryihiin; b) baalal uma soo wada bixin; c) mana baaluqin. 
niis,niis m.dh Ciid jilicsan oo aan boor lahayn oo togaggu keenaan. 
niishaab¹,niishaab¹ m.l ld nishaab¹. 
niishaab²,"niishaab² f.g/mg1 (-bay, -btay) ld nishaab². "
